Epoch   1/30  train loss=0.0012  val loss=-0.0067  S[mean]=0.0131  ζ=0.1754  reg=0.0064  λscale=1.00  lr=9.76e-04
Saved val-ζ checkpoint val_zeta_0.1.pt: threshold=0.1 epoch=1 val_zeta=0.1754
Saved val-ζ checkpoint val_zeta_0.2.pt: threshold=0.2 epoch=3 val_zeta=0.2052
Epoch  10/30  train loss=-0.0077  val loss=-0.0123  S[mean]=0.0137  ζ=0.2181  reg=0.0014  λscale=1.00  lr=1.00e-03
Epoch  20/30  train loss=-0.0124  val loss=-0.0196  S[mean]=0.0215  ζ=0.2623  reg=0.0019  λscale=1.00  lr=5.00e-04
Epoch  30/30  train loss=-0.0164  val loss=-0.0237  S[mean]=0.0263  ζ=0.2601  reg=0.0026  λscale=1.00  lr=1.00e-03
{
  "attempt": 5,
  "batch_size": 128,
  "best_val_c_plus": 0.08524067886173725,
  "best_val_epoch": 21,
  "best_val_s": 0.022774317301809788,
  "best_val_zeta": 0.262808658182621,
  "candidate": {
    "conv_layers": 1,
    "depth": 2,
    "kernels": "15,31,63,127",
    "lr": "1e-3",
    "temporal_filters": 8
  },
  "conv_layers": 1,
  "d": 128,
  "depth": 2,
  "elapsed_s": 39.42904090881348,
  "eligible_trials": 2094,
  "epochs": 30,
  "final_val_c_plus": 0.0998303834348917,
  "final_val_s": 0.02630329644307494,
  "final_val_zeta": 0.2600858770310879,
  "hidden_dim": 256,
  "holdout_trials": 0,
  "kernels": "15,31,63,127",
  "lambda_block_cca": 1.0,
  "lr": 0.001,
  "n_train": 1676,
  "n_val": 418,
  "run_dir": "/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/05_tf8_k15-31-63-127_cl1_dep2_lr0.001",
  "temporal_filters": 8
}
