Epoch   1/30  train loss=0.0064  val loss=-0.0035  S[mean]=0.0131  ζ=0.1381  reg=0.0096  λscale=1.00  lr=9.76e-04
Saved val-ζ checkpoint val_zeta_0.1.pt: threshold=0.1 epoch=1 val_zeta=0.1381
Saved val-ζ checkpoint val_zeta_0.2.pt: threshold=0.2 epoch=6 val_zeta=0.2035
Epoch  10/30  train loss=-0.0090  val loss=-0.0136  S[mean]=0.0156  ζ=0.2090  reg=0.0019  λscale=1.00  lr=1.00e-03
Saved val-ζ checkpoint val_zeta_0.3.pt: threshold=0.3 epoch=18 val_zeta=0.3025
Epoch  20/30  train loss=-0.2074  val loss=-0.1403  S[mean]=0.1939  ζ=0.2989  reg=0.0536  λscale=1.00  lr=5.00e-04
Epoch  30/30  train loss=-0.3161  val loss=-0.2180  S[mean]=0.2544  ζ=0.3147  reg=0.0364  λscale=1.00  lr=1.00e-03
{
  "attempt": 11,
  "batch_size": 128,
  "best_val_c_plus": 0.7278775125741959,
  "best_val_epoch": 24,
  "best_val_s": 0.23131495714187622,
  "best_val_zeta": 0.3153053820133209,
  "candidate": {
    "conv_layers": 2,
    "depth": 2,
    "kernels": "3,7,15,31,63",
    "lr": "1e-3",
    "temporal_filters": 8
  },
  "conv_layers": 2,
  "d": 128,
  "depth": 2,
  "elapsed_s": 54.79485893249512,
  "eligible_trials": 2094,
  "epochs": 30,
  "final_val_c_plus": 0.8020100742578506,
  "final_val_s": 0.25440098717808723,
  "final_val_zeta": 0.31470581144094467,
  "hidden_dim": 256,
  "holdout_trials": 0,
  "kernels": "3,7,15,31,63",
  "lambda_block_cca": 1.0,
  "lr": 0.001,
  "n_train": 1676,
  "n_val": 418,
  "run_dir": "/home/omo26/Non-Rev-Owen/physionetmi/multiscale_symmetric_sweep_23subj/runs/11_tf8_k3-7-15-31-63_cl2_dep2_lr0.001",
  "temporal_filters": 8
}
